age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name,industry
48,0,Two year,,TEL_7469-LKBCI,No,No internet service,,Male,No,,18.95,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,16,326.8,,,,Telecom
20,0,One year,,TEL_8091-TTVAX,No,Yes,,Male,Fiber optic,,100.35,Yes,No,No,No,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,58,5681.1,,,,Telecom
49,1,Month-to-month,,TEL_0280-XJGEX,No,Yes,,Male,Fiber optic,,103.7,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,49,5036.3,,,,Telecom
21,0,Month-to-month,,TEL_5129-JLPIS,No,Yes,,Male,Fiber optic,,105.5,No,No,Yes,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,25,2686.05,,,,Telecom
39,0,Two year,,TEL_3655-SNQYZ,Yes,Yes,,Female,Fiber optic,,113.25,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,69,7895.15,,,,Telecom
60,0,One year,,TEL_8191-XWSZG,No,No internet service,,Female,No,,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,52,1022.95,,,,Telecom
26,0,Two year,,TEL_9959-WOFKT,Yes,Yes,,Male,Fiber optic,,106.7,Yes,No,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,71,7382.25,,,,Telecom
34,1,Month-to-month,,TEL_4190-MFLUW,Yes,Yes,,Female,DSL,,55.2,No,No,No,No,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,10,528.35,,,,Telecom
57,0,Month-to-month,,TEL_4183-MYFRB,No,Yes,,Female,Fiber optic,,90.05,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,21,1862.9,,,,Telecom
60,1,Month-to-month,,TEL_8779-QRDMV,No,Yes,,Male,DSL,,39.65,No phone service,No,No,Yes,No,Electronic check,No,,,,,1,Yes,No,,No,1,39.65,,,,Telecom
26,0,One year,,TEL_1680-VDCWW,No,No internet service,,Male,No,,19.8,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,12,202.25,,,,Telecom
54,1,Month-to-month,,TEL_1066-JKSGK,No,No internet service,,Male,No,,20.15,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1,20.15,,,,Telecom
63,0,Two year,,TEL_3638-WEABW,No,No,,Female,DSL,,59.9,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,58,3505.1,,,,Telecom
56,0,Month-to-month,,TEL_6322-HRPFA,Yes,No,,Male,DSL,,59.6,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,49,2970.3,,,,Telecom
31,0,Month-to-month,,TEL_6865-JZNKO,No,No,,Female,DSL,,55.3,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,No,No,,No,30,1530.6,,,,Telecom
25,1,Month-to-month,,TEL_6467-CHFZW,Yes,No,,Male,Fiber optic,,99.35,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,47,4749.15,,,,Telecom
20,1,Month-to-month,,TEL_8665-UTDHZ,Yes,No,,Male,DSL,,30.2,No phone service,Yes,No,No,Yes,Electronic check,No,,,,,0,No,No,,No,1,30.2,,,,Telecom
39,0,Two year,,TEL_5248-YGIJN,No,Yes,,Male,DSL,,90.25,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,72,6369.45,,,,Telecom
56,1,Month-to-month,,TEL_8773-HHUOZ,Yes,No,,Female,DSL,,64.7,No,No,No,Yes,No,Mailed check,Yes,,,,,0,Yes,Yes,,No,17,1093.1,,,,Telecom
20,0,Two year,,TEL_3841-NFECX,No,Yes,,Female,Fiber optic,,96.35,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,No,,Yes,71,6766.95,,,,Telecom
40,0,Month-to-month,,TEL_4929-XIHVW,No,Yes,,Male,Fiber optic,,95.5,No,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,2,181.65,,,,Telecom
66,0,One year,,TEL_6827-IEAUQ,Yes,Yes,,Female,DSL,,66.15,No,Yes,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,Yes,27,1874.45,,,,Telecom
22,0,Month-to-month,,TEL_7310-EGVHZ,No,No internet service,,Male,No,,20.2,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,1,20.2,,,,Telecom
51,0,Month-to-month,,TEL_3413-BMNZE,No,No,,Male,DSL,,45.25,No,No,No,No,No,Bank transfer (automatic),Yes,,,,,1,No,No,,No,1,45.25,,,,Telecom
27,0,Two year,,TEL_6234-RAAPL,Yes,No,,Female,Fiber optic,,99.9,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,Yes,,Yes,72,7251.7,,,,Telecom
68,1,Month-to-month,,TEL_6047-YHPVI,No,No,,Male,Fiber optic,,69.7,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,5,316.9,,,,Telecom
56,0,Month-to-month,,TEL_6572-ADKRS,No,Yes,,Female,Fiber optic,,74.8,No,No,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,No,,No,46,3548.3,,,,Telecom
58,1,Month-to-month,,TEL_5380-WJKOV,No,Yes,,Male,Fiber optic,,106.35,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,34,3549.25,,,,Telecom
39,1,Month-to-month,,TEL_8168-UQWWF,No,Yes,,Female,Fiber optic,,97.85,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,11,1105.4,,,,Telecom
46,0,One year,,TEL_8865-TNMNX,Yes,No,,Male,DSL,,49.55,No,Yes,No,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,10,475.7,,,,Telecom
40,0,Two year,,TEL_9489-DEDVP,Yes,No,,Female,DSL,,69.2,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,Yes,,No,70,4872.35,,,,Telecom
23,0,One year,,TEL_9867-JCZSP,Yes,No internet service,,Female,No,,20.75,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,17,418.25,,,,Telecom
35,0,Two year,,TEL_4671-VJLCL,No,Yes,,Female,DSL,,79.85,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,Yes,63,4861.45,,,,Telecom
66,0,Month-to-month,,TEL_4080-IIARD,No,No,,Female,DSL,,76.2,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,No,Yes,,Yes,13,981.45,,,,Telecom
56,0,Month-to-month,,TEL_3714-NTNFO,No,No,,Female,Fiber optic,,84.5,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,49,3906.7,,,,Telecom
23,0,Month-to-month,,TEL_5948-UJZLF,No,No,,Male,DSL,,49.25,No,Yes,No,No,No,Mailed check,Yes,,,,,0,No,No,,No,2,97,,,,Telecom
31,1,Month-to-month,,TEL_7760-OYPDY,No,No,,Female,Fiber optic,,80.65,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,2,144.15,,,,Telecom
28,0,Two year,,TEL_7639-LIAYI,No,No,,Male,DSL,,79.75,Yes,No,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,52,4217.8,,,,Telecom
53,0,Two year,,TEL_2954-PIBKO,Yes,Yes,,Female,DSL,,64.15,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,69,4254.1,,,,Telecom
53,0,Month-to-month,,TEL_8012-SOUDQ,No,No,,Female,Fiber optic,,90.25,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,1,No,Yes,,No,43,3838.75,,,,Telecom
22,1,Month-to-month,,TEL_9420-LOJKX,No,No,,Female,Fiber optic,,99.1,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,15,1426.4,,,,Telecom
39,0,Month-to-month,,TEL_6575-SUVOI,No,No,,Female,DSL,,69.5,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,Yes,,Yes,25,1752.65,,,,Telecom
60,1,Month-to-month,,TEL_7495-OOKFY,No,No,,Female,Fiber optic,,80.65,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,No,,No,8,633.3,,,,Telecom
29,0,One year,,TEL_4667-QONEA,Yes,Yes,,Female,DSL,,74.85,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,No,,Yes,60,4456.35,,,,Telecom
49,1,Month-to-month,,TEL_1658-BYGOY,No,No,,Male,Fiber optic,,95.45,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,18,1752.55,,,,Telecom
27,0,One year,,TEL_8769-KKTPH,Yes,No,,Female,Fiber optic,,99.65,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,63,6311.2,,,,Telecom
21,0,One year,,TEL_5067-XJQFU,Yes,Yes,,Male,Fiber optic,,108.45,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,1,Yes,Yes,,Yes,66,7076.35,,,,Telecom
50,0,Two year,,TEL_3957-SQXML,Yes,No internet service,,Female,No,,24.95,Yes,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,34,894.3,,,,Telecom
40,0,Two year,,TEL_5954-BDFSG,No,Yes,,Female,Fiber optic,,107.5,Yes,No,No,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,72,7853.7,,,,Telecom
47,0,Month-to-month,,TEL_0434-CSFON,No,Yes,,Female,Fiber optic,,100.5,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,47,4707.1,,,,Telecom
46,0,Month-to-month,,TEL_1215-FIGMP,No,No,,Male,Fiber optic,,89.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,No,Yes,,No,60,5450.7,,,,Telecom
66,0,Two year,,TEL_0526-SXDJP,No,Yes,,Male,DSL,,42.1,No phone service,Yes,Yes,No,Yes,Bank transfer (automatic),No,,,,,0,No,No,,No,72,2962,,,,Telecom
61,0,One year,,TEL_0557-ASKVU,Yes,Yes,,Female,DSL,,54.4,No,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,18,957.1,,,,Telecom
20,1,Month-to-month,,TEL_5698-BQJOH,No,No,,Female,Fiber optic,,94.4,Yes,No,No,No,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,9,857.25,,,,Telecom
34,0,Month-to-month,,TEL_5122-CYFXA,No,No,,Female,DSL,,75.3,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,3,244.1,,,,Telecom
60,0,One year,,TEL_8627-ZYGSZ,No,No,,Male,Fiber optic,,78.9,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,No,47,3650.35,,,,Telecom
25,0,Two year,,TEL_3410-YOQBQ,No,Yes,,Female,DSL,,79.2,No,Yes,No,No,No,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,31,2497.2,,,,Telecom
24,0,Two year,,TEL_3170-NMYVV,Yes,No internet service,,Female,No,,20.15,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,50,930.9,,,,Telecom
49,0,Month-to-month,,TEL_7410-OIEDU,No,Yes,,Male,Fiber optic,,79.85,No,No,Yes,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,10,887.35,,,,Telecom
64,0,Month-to-month,,TEL_2273-QCKXA,No,No,,Male,DSL,,49.05,No,No,No,No,No,Mailed check,Yes,,,,,0,No,No,,Yes,1,49.05,,,,Telecom
35,0,One year,,TEL_0731-EBJQB,Yes,No internet service,,Female,No,,20.4,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,52,1090.65,,,,Telecom
39,0,Two year,,TEL_1891-QRQSA,Yes,Yes,,Male,Fiber optic,,111.6,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,Yes,,Yes,64,7099,,,,Telecom
69,0,Two year,,TEL_8028-PNXHQ,Yes,No internet service,,Male,No,,24.25,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,62,1424.6,,,,Telecom
23,0,Month-to-month,,TEL_5630-AHZIL,Yes,No,,Female,DSL,,64.5,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,No,,Yes,3,177.4,,,,Telecom
64,0,One year,,TEL_2673-CXQEU,No,Yes,,Female,Fiber optic,,110.5,Yes,Yes,Yes,No,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,56,6139.5,,,,Telecom
35,0,One year,,TEL_6416-JNVRK,No,No,,Female,DSL,,55.65,No,No,No,No,No,Credit card (automatic),Yes,,,,,0,Yes,No,,No,46,2688.85,,,,Telecom
43,0,Month-to-month,,TEL_5590-ZSKRV,Yes,No,,Female,DSL,,54.65,No,Yes,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,8,482.25,,,,Telecom
65,0,Month-to-month,,TEL_0191-ZHSKZ,No,No,,Male,DSL,,74.75,No,Yes,Yes,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,30,2111.3,,,,Telecom
56,0,One year,,TEL_3887-PBQAO,Yes,No internet service,,Female,No,,25.9,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,45,1216.6,,,,Telecom
70,1,Month-to-month,,TEL_5919-TMRGD,Yes,No,,Female,Fiber optic,,79.35,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,1,79.35,,,,Telecom
26,0,Month-to-month,,TEL_8108-UXRQN,Yes,No,,Female,DSL,,50.55,No phone service,No,Yes,No,Yes,Electronic check,No,,,,,0,Yes,Yes,,No,11,565.35,,,,Telecom
63,1,Month-to-month,,TEL_9191-MYQKX,No,Yes,,Female,Fiber optic,,75.15,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,7,496.9,,,,Telecom
54,0,Month-to-month,,TEL_9919-YLNNG,No,Yes,,Female,Fiber optic,,103.8,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,42,4327.5,,,,Telecom
58,0,Two year,,TEL_0318-ZOPWS,No,No internet service,,Female,No,,20.15,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,49,973.35,,,,Telecom
20,0,Month-to-month,,TEL_4445-ZJNMU,No,No,,Male,Fiber optic,,99.3,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,9,918.75,,,,Telecom
34,0,One year,,TEL_4808-YNLEU,No,No,,Female,DSL,,62.15,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,Yes,,No,35,2215.45,,,,Telecom
29,0,Two year,,TEL_1862-QRWPE,Yes,No internet service,,Female,No,,20.65,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,48,1057,,,,Telecom
53,0,Two year,,TEL_2796-NNUFI,Yes,No internet service,,Female,No,,19.95,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,46,927.1,,,,Telecom
66,0,Month-to-month,,TEL_3016-KSVCP,No,No,,Male,DSL,,33.75,No phone service,No,No,No,Yes,Mailed check,No,,,,,0,No,Yes,,No,29,1009.25,,,,Telecom
40,0,Month-to-month,,TEL_4767-HZZHQ,Yes,Yes,,Male,Fiber optic,,82.05,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,30,2570.2,,,,Telecom
62,0,Month-to-month,,TEL_2424-WVHPL,No,No,,Male,Fiber optic,,74.7,No,No,No,No,No,Electronic check,Yes,,,,,1,No,No,,Yes,1,74.7,,,,Telecom
50,0,Two year,,TEL_7233-PAHHL,Yes,Yes,,Male,DSL,,84.0,Yes,No,Yes,Yes,Yes,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,66,5714.25,,,,Telecom
61,0,Month-to-month,,TEL_6067-NGCEU,No,Yes,,Female,Fiber optic,,111.05,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,65,7107,,,,Telecom
37,0,Two year,,TEL_9848-JQJTX,No,Yes,,Male,Fiber optic,,100.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,72,7459.05,,,,Telecom
46,1,Month-to-month,,TEL_8637-XJIVR,No,No,,Female,Fiber optic,,78.95,Yes,No,Yes,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,12,927.35,,,,Telecom
22,0,One year,,TEL_9803-FTJCG,Yes,No,,Male,DSL,,66.85,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,71,4748.7,,,,Telecom
53,1,Month-to-month,,TEL_0278-YXOOG,No,No internet service,,Male,No,,21.05,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,5,113.85,,,,Telecom
66,0,Two year,,TEL_3212-KXOCR,No,No internet service,,Male,No,,21.0,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,52,1107.2,,,,Telecom
38,1,Month-to-month,,TEL_4598-XLKNJ,No,Yes,,Female,Fiber optic,,98.5,No,Yes,No,Yes,Yes,Electronic check,Yes,,,,,1,Yes,Yes,,No,25,2514.5,,,,Telecom
31,0,Month-to-month,,TEL_6380-ARCEH,No,No internet service,,Male,No,,20.2,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1,20.2,,,,Telecom
24,0,Month-to-month,,TEL_3679-XASPY,Yes,No internet service,,Female,No,,19.45,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,1,19.45,,,,Telecom
20,0,One year,,TEL_7123-WQUHX,No,Yes,,Male,Fiber optic,,95.0,Yes,No,No,No,No,Bank transfer (automatic),Yes,,,,,0,No,Yes,,Yes,38,3605.6,,,,Telecom
50,0,One year,,TEL_5386-THSLQ,No,Yes,,Female,DSL,,45.55,No phone service,Yes,No,No,Yes,Bank transfer (automatic),No,,,,,1,No,Yes,,No,66,3027.25,,,,Telecom
60,1,Two year,,TEL_3192-NQECA,No,Yes,,Male,Fiber optic,,110.0,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,68,7611.85,,,,Telecom
31,0,Month-to-month,,TEL_6180-YBIQI,No,No,,Male,DSL,,24.3,No phone service,No,No,No,No,Mailed check,No,,,,,0,No,No,,No,5,100.2,,,,Telecom
39,0,One year,,TEL_6728-DKUCO,Yes,No,,Female,Fiber optic,,104.15,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,72,7303.05,,,,Telecom
57,0,One year,,TEL_9750-BOOHV,No,No,,Female,DSL,,30.15,No phone service,No,Yes,No,No,Mailed check,No,,,,,0,No,No,,No,32,927.65,,,,Telecom
40,0,One year,,TEL_8597-CWYHH,No,No,,Male,Fiber optic,,94.35,Yes,No,No,No,No,Mailed check,Yes,,,,,0,Yes,Yes,,No,43,3921.3,,,,Telecom
45,0,Two year,,TEL_2848-YXSMW,Yes,No internet service,,Male,No,,19.4,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,72,1363.25,,,,Telecom
69,1,Month-to-month,,TEL_0486-HECZI,No,No,,Male,Fiber optic,,96.75,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,No,Yes,,No,55,5238.9,,,,Telecom
32,0,One year,,TEL_4549-ZDQYY,No,Yes,,Female,DSL,,57.95,No,No,Yes,No,No,Credit card (automatic),Yes,,,,,0,No,No,,Yes,52,3042.25,,,,Telecom
44,0,Month-to-month,,TEL_5712-AHQNN,No,Yes,,Female,Fiber optic,,91.65,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,43,3954.1,,,,Telecom
30,1,Month-to-month,,TEL_4846-WHAFZ,No,No,,Female,Fiber optic,,76.5,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,1,No,No,,No,37,2868.15,,,,Telecom
70,0,Two year,,TEL_5256-SKJGO,Yes,No,,Female,DSL,,54.6,No phone service,Yes,No,Yes,Yes,Electronic check,No,,,,,0,Yes,Yes,,Yes,64,3423.5,,,,Telecom
52,0,Month-to-month,,TEL_3071-VBYPO,Yes,No,,Male,Fiber optic,,89.85,No,Yes,Yes,No,Yes,Electronic check,Yes,,,,,0,No,Yes,,No,3,248.4,,,,Telecom
54,0,Two year,,TEL_9560-BBZXK,No,No,,Female,DSL,,31.05,No phone service,No,Yes,No,No,Bank transfer (automatic),No,,,,,0,No,No,,No,36,1126.35,,,,Telecom
67,1,Month-to-month,,TEL_5299-RULOA,Yes,No,,Female,Fiber optic,,100.25,Yes,No,Yes,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,10,1064.65,,,,Telecom
65,0,Two year,,TEL_8402-OOOHJ,No,No internet service,,Female,No,,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,41,835.15,,,,Telecom
67,0,Month-to-month,,TEL_9445-ZUEQE,Yes,No,,Male,Fiber optic,,85.2,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,27,2151.6,,,,Telecom
54,0,One year,,TEL_1091-SOZGA,Yes,Yes,,Female,Fiber optic,,99.8,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,56,5515.45,,,,Telecom
37,0,Month-to-month,,TEL_2928-HLDBA,No,No internet service,,Female,No,,20.7,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,6,112.75,,,,Telecom
63,1,Month-to-month,,TEL_0404-SWRVG,No,No,,Male,Fiber optic,,74.4,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,3,229.55,,,,Telecom
29,0,Month-to-month,,TEL_6497-TILVL,Yes,No,,Female,DSL,,50.7,No,No,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,7,350.35,,,,Telecom
28,0,Month-to-month,,TEL_7219-TLZHO,Yes,No internet service,,Female,No,,20.85,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,4,62.9,,,,Telecom
54,0,Two year,,TEL_4622-YNKIJ,No,No,,Male,Fiber optic,,88.95,No,No,Yes,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,Yes,33,3027.65,,,,Telecom
20,1,Month-to-month,,TEL_4412-YLTKF,No,Yes,,Female,Fiber optic,,78.05,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,No,No,,No,27,2135.5,,,,Telecom
40,0,Two year,,TEL_6734-PSBAW,No,No internet service,,Male,No,,23.55,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,72,1723.95,,,,Telecom
37,0,Month-to-month,,TEL_3930-ZGWVE,No,No internet service,,Male,No,,19.75,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1,19.75,,,,Telecom
39,0,One year,,TEL_2639-UGMAZ,No,No,,Male,DSL,,56.45,No phone service,Yes,Yes,Yes,No,Electronic check,No,,,,,1,Yes,Yes,,No,71,3985.35,,,,Telecom
22,0,Month-to-month,,TEL_2876-GZYZC,No,No,,Female,Fiber optic,,85.95,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,13,1215.65,,,,Telecom
35,1,Month-to-month,,TEL_6207-WIOLX,Yes,Yes,,Female,DSL,,58.6,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,,,,,0,Yes,Yes,,No,25,1502.65,,,,Telecom
37,0,Two year,,TEL_8587-XYZSF,No,No,,Male,DSL,,50.55,No,No,No,No,No,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,67,3260.1,,,,Telecom
